model_name,phase,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_precision,val_weighted_recall,val_weighted_f1,elapsed_sec
single_convnext_tiny,P1-head,1,2.256843898781829,0.5858776410494544,1.7459814734015218,0.7384532033048896,0.7663152022974405,0.7275142012551102,0.7296699251241201,0.7684690608897298,0.7384532033048896,0.7390286278771069,497.5356171131134
single_convnext_tiny,P1-head,2,1.7648533396414214,0.7322962618992338,1.6488268163555218,0.7751591493972639,0.7850896235995946,0.7674901577686466,0.7687894016403233,0.7907152755171906,0.7751591493972639,0.7758770882745681,403.0547938346863
single_convnext_tiny,P1-head,3,1.6699859432258544,0.7640178778732296,1.6093451989693288,0.7877556548828389,0.800483532530694,0.7846328108521261,0.7855183642858289,0.7981985077599894,0.7877556548828389,0.7884421530193163,403.5060498714447
single_convnext_tiny,P1-head,4,1.61071365439258,0.7883387508706756,1.5907032582780203,0.7975077881619937,0.8099505765705353,0.7915553537291953,0.7927847890927455,0.806753564024588,0.7975077881619937,0.7972194162097457,402.33790135383606
single_convnext_tiny,P1-head,5,1.5780727993398525,0.7997155792895286,1.5740503100187624,0.8046864418258161,0.8162194720336693,0.805507746938648,0.8063319739695767,0.8106724184543816,0.8046864418258161,0.8046754162090433,405.91551756858826
single_convnext_tiny,P2-top3,1,1.423566376717317,0.8400568841420942,1.2914668271716947,0.8831098469456861,0.8983033249719923,0.8687160007434188,0.8797304402414687,0.8876344494009277,0.8831098469456861,0.8827554503286488,424.99836468696594
single_convnext_tiny,P2-top3,2,1.19702316686729,0.9122939400975156,1.2213850958018255,0.8909657320872274,0.9023515626300717,0.8831263592267494,0.8896009109606613,0.8976057795192737,0.8909657320872274,0.8910644179565183,410.0137495994568
single_convnext_tiny,P2-top3,3,1.0793867130442287,0.9448281866728582,1.177569907515349,0.9066775023703102,0.9153654855878187,0.894022511414969,0.9023165504880177,0.9103091398621243,0.9066775023703102,0.9066943964969085,409.46601128578186
single_convnext_tiny,P2-top3,4,1.0038600851854538,0.9638379382400742,1.1529288228637042,0.9081674116212921,0.916985757495231,0.8960375220038599,0.9038014551249726,0.9117376395548134,0.9081674116212921,0.9075537701242998,411.2804992198944
single_convnext_tiny,P2-top3,5,0.9574730498956255,0.9736185279777108,1.1301282335390135,0.9131789245564134,0.9134527620293386,0.9048694614733519,0.9072125830680317,0.9147899865772873,0.9131789245564134,0.9125886967376994,411.7631301879883
single_convnext_tiny,P2-top3,6,0.9214456399826154,0.9825864871140004,1.1126695257949262,0.9148042801029392,0.9208228970191299,0.9015195162836959,0.9092208990572531,0.916681767610737,0.9148042801029392,0.9144644491836061,412.47659707069397
single_convnext_tiny,P2-top3,7,0.8983216891439326,0.9849953563965638,1.1048509525151557,0.916429635649465,0.9186735883304312,0.9043705916470612,0.9099493522223302,0.9174030791020958,0.916429635649465,0.9159672572365353,412.71638011932373
single_convnext_tiny,P2-top3,8,0.8780389930218258,0.9896389598328302,1.1017750350744053,0.9160232967628336,0.9200065618348032,0.9050714706424089,0.9107359130107014,0.9179468357889167,0.9160232967628336,0.9157960585403702,412.1736991405487
single_convnext_tiny,P2-top3,9,0.8693933263853528,0.990364522869747,1.094838898533585,0.9176486523093593,0.9216921725980968,0.9063250590726434,0.9122495454678505,0.9188845338966976,0.9176486523093593,0.9171933575688527,411.21682620048523
