model_name,phase,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_precision,val_weighted_recall,val_weighted_f1,elapsed_sec
single_effb0,P1-head,1,3.011484627715944,0.37560947295101,2.350540718524643,0.5574969524583503,0.5801775718625548,0.5227148703878142,0.5215756846604042,0.5924623632352595,0.5574969524583503,0.551985859981741,536.5059030056
single_effb0,P1-head,2,2.5269214201892423,0.4941084281402368,2.2284326326648474,0.5977245022348638,0.6139655954368394,0.5826451796496301,0.5713985597926619,0.6269108605502688,0.5977245022348638,0.5939554158500768,438.96851992607117
single_effb0,P1-head,3,2.4310249004669577,0.5204318551195728,2.1875499835848147,0.6078829744006501,0.6190763222174052,0.5971318229965545,0.5903942709453734,0.633771740283365,0.6078829744006501,0.6040434848258922,438.48164987564087
single_effb0,P1-head,4,2.3707658448517117,0.5422567912700256,2.1405235998969276,0.6218339428416633,0.6344443845803432,0.6137642336959245,0.6075347654876159,0.6375960153104426,0.6218339428416633,0.6156139511047093,432.35667967796326
single_effb0,P1-head,5,2.3353745510552137,0.5511376828418854,2.1255298626708674,0.6290125965054856,0.6351167243403932,0.61731643636081,0.6131374747190516,0.6392174228294952,0.6290125965054856,0.6235408794153321,445.2004699707031
single_effb0,P2-top3,1,1.9944530536991718,0.650017413512886,1.6808439754267526,0.7666260327780036,0.7748609294619621,0.7550440753997263,0.7569227681814681,0.7754990595809638,0.7666260327780036,0.7643663048143932,462.90832924842834
single_effb0,P2-top3,2,1.7352936790967612,0.7357209194334804,1.5440044454098976,0.8075308140322363,0.8099185178367684,0.7882370678672577,0.7926310904671617,0.8116372889194144,0.8075308140322363,0.8057329743962804,449.4932482242584
single_effb0,P2-top3,3,1.6046681443416577,0.7814604132807058,1.4902162794076732,0.8218881213598808,0.826678606651737,0.8041964876140184,0.8089318779997575,0.8266912871321197,0.8218881213598808,0.8203207491819712,449.6039273738861
single_effb0,P2-top3,4,1.5148771844885591,0.809409101462735,1.4375460761745948,0.8415278342137342,0.8468733928121612,0.8233261930746989,0.8307529244701872,0.8445628336378835,0.8415278342137342,0.8404058604818978,445.74629855155945
single_effb0,P2-top3,5,1.4512968441989988,0.8322208033433944,1.4166496385004435,0.8412569416226466,0.8441292078240576,0.8241487241835195,0.8300586253545621,0.8459837099649452,0.8412569416226466,0.8406879717381889,439.7268810272217
single_effb0,P2-top3,6,1.4040181439189146,0.8476607847689808,1.3943634548113628,0.8518217526750643,0.8560955437074106,0.833566285814615,0.8403996752538908,0.8555551245460656,0.8518217526750643,0.8509608723792529,451.77961683273315
single_effb0,P2-top3,7,1.3617410365295763,0.863274901323427,1.3835120865214603,0.8537180008126778,0.8636305037017473,0.8368952493428067,0.8455355724896078,0.8583850993825605,0.8537180008126778,0.8531156556222469,430.4804275035858
single_effb0,P2-top3,8,1.3390975560338199,0.8689052704899002,1.3743882753751182,0.8558851415413788,0.8627798669014033,0.835374898289193,0.8450912476851793,0.8598233575520619,0.8558851415413788,0.855458675523536,429.3104438781738
single_effb0,P2-top3,9,1.3283795094805582,0.8720106802879034,1.3665324114500208,0.8571041582012732,0.8626791472200387,0.8398270744258253,0.8475754185117774,0.8606154354573877,0.8571041582012732,0.8565449181645306,428.01731300354004
single_effb0,P2-top3,10,1.3163565962724795,0.8772347341537032,1.3663018967875067,0.858729513747799,0.8646594575002939,0.8401766936045498,0.8485443919508598,0.8622471643200185,0.858729513747799,0.8582155851506258,425.5329761505127
single_effb0,P3-full,1,1.3011654653321127,0.8788309728349198,1.3357217220227988,0.869836109982392,0.8718914516897015,0.8520964415487835,0.8583505703356025,0.8726612925295573,0.869836109982392,0.8690677201842524,491.3095259666443
single_effb0,P3-full,2,1.2535867814760848,0.8966798235430694,1.317336154867281,0.8701070025734796,0.8740822119245775,0.8499363527756969,0.8583573581113001,0.8731937281022393,0.8701070025734796,0.8694084519064021,437.9509015083313
single_effb0,P3-full,3,1.2201398401269232,0.9073601114464824,1.302173131658313,0.8744412840308817,0.8790356695329954,0.8567657175075272,0.8648280718730962,0.8778376143183817,0.8744412840308817,0.8740886380641101,438.01984906196594
single_effb0,P3-full,4,1.1849079429342155,0.9202170884606454,1.2871093785602936,0.877962887715021,0.8826709306901397,0.8625596791589697,0.8699458551572017,0.8804077012279932,0.877962887715021,0.8774979637052006,432.0942120552063
single_effb0,P3-full,5,1.1590583100517085,0.927908056651962,1.2754094142683248,0.8810781525125287,0.8872034851083042,0.8634201070519868,0.8723698686810436,0.883836754437733,0.8810781525125287,0.8805290866151675,435.24107789993286
